DIS-ID-NAME,DIS-ID,RADIO-ID,FREQUENCY-NAME,FREQUENCY,PTT-ON,PTT-OFF,PTT-DURATION,DAC-SAMPLES,VAD,FILENAME,TRUNCATED?,CONTENT?
"2","13000:2:2",1,"",240800000,00:00:10.086,00:00:11.862,1.777,1.776,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_10.086s.au"),0,1
"3","13000:3:3",1,"",240800000,00:00:12.163,00:00:12.854,0.692,0.688,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_12.163s.au"),0,1
"2","13000:2:2",1,"",240800000,00:00:12.756,00:00:13.234,0.478,0.480,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_12.757s.au"),0,1
"2","13000:2:2",1,"",240800000,00:00:27.933,00:00:29.233,1.301,1.296,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_27.933s.au"),0,1
"2","13000:2:2",1,"",240800000,00:00:34.465,00:00:37.696,3.231,3.232,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_34.466s.au"),0,1
"3","13000:3:3",1,"",240800000,00:00:36.726,00:00:38.259,1.534,1.536,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_36.726s.au"),0,1
"3","13000:3:3",1,"",240800000,00:00:39.814,00:00:42.131,2.317,2.320,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_39.815s.au"),0,1
"3","13000:3:3",1,"",240800000,00:00:44.863,00:00:46.998,2.134,2.128,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_44.864s.au"),0,1
"2","13000:2:2",1,"",240800000,00:00:50.333,00:00:51.796,1.463,1.456,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_50.333s.au"),0,1
"3","13000:3:3",1,"",240800000,00:00:52.675,00:00:53.936,1.260,1.264,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_52.676s.au"),0,1
"2","13000:2:2",1,"",240800000,00:00:55.605,00:01:00.562,4.957,4.960,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_55.606s.au"),0,1
"3","13000:3:3",1,"",240800000,00:01:03.464,00:01:05.008,1.544,1.552,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_63.464s.au"),0,1
"2","13000:2:2",1,"",240800000,00:01:11.309,00:01:12.499,1.189,1.184,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_71.310s.au"),0,1
"3","13000:3:3",1,"",240800000,00:01:11.540,00:01:12.768,1.229,1.232,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_71.540s.au"),0,1
"2","13000:2:2",1,"",240800000,00:01:16.980,00:01:18.228,1.249,1.248,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_76.980s.au"),0,1
"3","13000:3:3",1,"",240800000,00:01:18.744,00:01:19.778,1.035,1.040,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_78.744s.au"),0,1
"2","13000:2:2",1,"",240800000,00:01:23.652,00:01:28.469,4.816,4.816,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_83.653s.au"),0,1
"3","13000:3:3",1,"",240800000,00:01:31.238,00:01:31.827,0.588,0.592,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_91.239s.au"),0,1
"2","13000:2:2",1,"",240800000,00:01:31.363,00:01:32.349,0.986,0.992,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_91.364s.au"),0,1
"2","13000:2:2",1,"",240800000,00:01:40.803,00:01:42.547,1.745,1.744,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_100.803s.au"),0,1
